

==================================================================================================================================


=============================Load 2.0===Set Nb 0==============================================================
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
32.151898734177216
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
27.429805615550755
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
32.151898734177216
No sharing on this link 
49.566294919454776
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
46.271929824561404
No sharing on this link 
27.429805615550755
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
50.0
No sharing on this link 
No sharing on this link 
46.985210466439135
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
40.055248618784525
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
No sharing on this link 
49.518716577540104
No sharing on this link 
49.011446409989595
No sharing on this link 
No sharing on this link 
46.985210466439135
No sharing on this link 
